episode_id,scene_id,family,expected_sample,floor,round,ceil,peak_sample,peak_minus_expected,onset_sample,onset_minus_expected,current_error,expected_error,earliest_error,early4_error,early8_error,early16_error,direct_to_peak_amp_ratio,direct_to_peak_energy_ratio
clsdoa_v1_pilot_005_ep_000069,replica.office_3,Replica,198.92122259140461,198,199,199,191,-7.921222591404614,191,-7.921222591404614,0.06531249526628609,0.0,0.0,0.007101597688403032,0.020297404918832973,0.0,5.00447022204753e-05,2.5038240369923415e-09
clsdoa_v1_pilot_005_ep_000070,replica.room_2,Replica,110.9558956516735,110,111,111,104,-6.955895651673501,104,-6.955895651673501,1.2074182697257333e-06,0.01277373428505271,0.003689156222470973,0.004196348194624204,0.009810095534165182,0.009393564035278062,4.293436722946353e-05,1.843185826189142e-09
clsdoa_v1_pilot_005_ep_000071,replica.office_3,Replica,108.56761847500731,108,109,109,101,-7.567618475007308,101,-7.567618475007308,7.636383641665695e-06,0.0,0.01119430891199051,0.0,0.007101597739724542,0.01119430891199051,2.6026102204923518e-05,6.774187322200476e-10
clsdoa_v1_pilot_005_ep_000072,replica.room_2,Replica,338.0865749488947,338,338,339,450,111.91342505110532,330,-8.086574948894679,3.2010741309792166,0.002486241192211531,0.009970749985771464,0.004909977418421621,0.0,0.009935172297005643,0.0001942698727361858,6.313318312578531e-09
clsdoa_v1_pilot_005_ep_000073,replica.room_1,Replica,189.26714480862435,189,189,190,182,-7.2671448086243515,182,-7.2671448086243515,2.831646840510158e-06,0.0,0.0,0.013976336140210462,0.013901642988811974,0.0,7.501816435251385e-05,5.6281410643066465e-09
clsdoa_v1_pilot_005_ep_000074,replica.office_3,Replica,225.17793982695272,225,225,226,325,99.82206017304728,259,33.82206017304728,58.18106122115012,119.04939459784919,17.13856928235939,24.43784039208582,20.35453193575867,18.48533002413173,1.534497684474445e-08,2.7581028594979404e-16
clsdoa_v1_pilot_005_ep_000075,mp3d.1pXnuDYAj8r,MP3D,219.1967676842537,219,219,220,212,-7.1967676842537,212,-7.1967676842537,97.89361940942769,62.06207859288241,84.1985991975067,82.69846160989967,73.9643356843051,76.9048020153962,1.8529257774353027,0.3406071662902832
clsdoa_v1_pilot_005_ep_000076,mp3d.GdvgFV5R1Z5,MP3D,335.92300122545174,335,336,336,453,117.07699877454826,414,78.07699877454826,21.170602994164632,46.63051476600486,21.463813338471226,21.463812366459127,21.463816890657387,20.861776380989188,6.474333247297182e-08,6.631728417013771e-15
clsdoa_v1_pilot_005_ep_000077,mp3d.5q7pvUzZiYa,MP3D,272.7159123045578,272,273,273,265,-7.715912304557776,265,-7.715912304557776,10.829446812153126,0.012592634272185297,0.0,0.0,0.015045626675392823,0.01942137738346424,6.752300396328792e-05,4.559431943107484e-09
clsdoa_v1_pilot_005_ep_000078,mp3d.HxpKQynjfin,MP3D,100.90878969398018,100,101,101,94,-6.908789693980182,94,-6.908789693980182,6.331754823653221e-06,0.02655345531053158,0.007101597739724542,0.007101597739724542,0.0,0.018360413517074372,3.843237936962396e-05,1.4770806799901948e-09
clsdoa_v1_pilot_005_ep_000079,mp3d.oLBMNvg9in8,MP3D,136.65048588528515,136,137,137,213,76.34951411471485,129,-7.65048588528515,53.25366106330474,155.94993718821692,75.64888541554659,89.96420889247631,70.00527986144846,68.39500082740068,1.0885249376296997,0.18494652211666107
clsdoa_v1_pilot_005_ep_000080,mp3d.7y3sRwLe3Va,MP3D,74.81974502542887,74,75,75,68,-6.8197450254288725,68,-6.8197450254288725,1.344524082641768e-05,0.020642468759551495,0.0,0.012200977351189692,0.0,0.008274452605846017,2.8530719646369107e-05,8.140420004743021e-10
clsdoa_v1_pilot_005_ep_000081,replica.office_0,Replica,265.7303464704339,265,266,266,258,-7.730346470433915,258,-7.730346470433915,115.92343512500125,0.020231015814799205,0.0,0.0,0.018656634763345413,0.0,6.601178029086441e-05,4.355919624998705e-09
clsdoa_v1_pilot_005_ep_000082,replica.office_4,Replica,95.71553650647886,95,96,96,88,-7.7155365064788555,88,-7.7155365064788555,2.2588727439225506e-06,0.0,0.0,0.0,0.0,0.016193360411714274,2.3488675651606172e-05,5.517428181001094e-10
clsdoa_v1_pilot_005_ep_000083,replica.apartment_1,Replica,305.2536217122275,305,305,306,297,-8.253621712227527,297,-8.253621712227527,0.23278426660355914,0.01309969297627987,0.013687405215371009,0.01619336045672837,0.0,0.0,7.532368181273341e-05,5.671083158631518e-09
clsdoa_v1_pilot_005_ep_000084,replica.apartment_2,Replica,224.48638936584544,224,224,225,217,-7.48638936584544,217,-7.48638936584544,0.14306218713225163,0.010810229943407634,0.0,0.020074762817267174,0.0,0.0004846908406899264,9.116811270359904e-05,8.31178592619608e-09
clsdoa_v1_pilot_005_ep_000085,replica.room_0,Replica,136.91846766285815,136,137,137,130,-6.9184676628581485,130,-6.9184676628581485,0.010800383063948201,0.006701227257256556,0.0,0.0,0.0,0.0,5.4041651310399175e-05,2.920365949066195e-09
